symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
CU,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.12310735592698663,0.1449515685642009,0.8492999223562097,0.1908641075633276,0.6450000343104861,0.5122242098986285,1.150906569752423,7.055205047318612,3.2167259881459875,0.6549684542586751
CU,40,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.10885408022964138,0.13961040022608323,0.7796989339860392,0.20637482842912547,0.527458125868411,0.5118898623279099,1.1421930859111749,6.95583596214511,2.828740816250766,0.6218454258675079
CU,40,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.1031987002157384,0.136103842797256,0.7582350218389204,0.3426538721831227,0.3011747672899096,0.5123580494321978,1.143392994800191,6.558359621451104,2.6868634087761123,0.5824132492113565
CU,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.10736222522671146,0.14513047166584456,0.7397634969030312,0.2594571970726417,0.41379551786591084,0.5153980244044161,1.1099211603760073,7.253943217665616,2.7906739010634336,0.6711356466876972
CU,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.07693198319878025,0.12652888984059757,0.6080191116487308,0.25730009396443554,0.29899710495019843,0.49288389513108616,1.2064624122069392,5.763406940063091,2.108271074197195,0.5220820189274448
CU,80,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.06975877489971083,0.12245343462954218,0.5696759352708377,0.20749406162614725,0.33619648848263817,0.5,1.16743899431298,5.564668769716088,1.971142378158518,0.5023659305993691
CU,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.07481558908203056,0.15154454323450592,0.4936871198737787,0.2241968152668461,0.33370495915824094,0.5079281183932347,1.0835064098949998,7.850157728706625,2.066945499913494,0.7381703470031545
CU,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.07253013238075123,0.1510899252985577,0.48004611980203027,0.28227631995374636,0.25694727915057125,0.5050883770755222,1.093691377366149,7.651419558359621,2.023139297643991,0.7287066246056783
CU,40,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.06498327344842725,0.1356261201722883,0.4791353860589525,0.39679748901756584,0.16376936660894673,0.5076828518746158,1.090293359254831,6.757097791798107,1.8843601801604182,0.6336750788643533
CU,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.055759697606590164,0.1269427452272808,0.43925076227677995,0.29693376100839086,0.18778497068581732,0.49783236994219654,1.1354422403102393,5.763406940063091,1.7264221066882235,0.542192429022082
CU,80,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.05280715706439798,0.12141744060667843,0.43492233735565483,0.2074940616261467,0.254499606641965,0.49624060150375937,1.1431766063456308,5.564668769716088,1.6784455605848099,0.5208990536277602
CU,60,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.053096323343748475,0.13816406615932575,0.3842990787671212,0.30646232759718683,0.1732556290361996,0.4907749077490775,1.1435620345255728,6.757097791798107,1.6830906642981156,0.6344637223974764
CU,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.05156396735132285,0.13567445760472338,0.3800565578935301,0.20607110954065733,0.2502241457633798,0.49273531269741,1.1351216214923738,6.757097791798107,1.6586064729989827,0.6182965299684543
CU,60,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.045878712946808564,0.1384861004148732,0.33128749245856637,0.3342454268201882,0.13726055546450192,0.4833743842364532,1.1662002234773374,6.757097791798107,1.5705441417124486,0.6340694006309149
CU,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.035584044169246765,0.14681998772664873,0.24236512153575152,0.26267106962048137,0.13546997855782195,0.5019326339039205,1.0582157683242115,7.452681388012619,1.421731720549851,0.7066246056782335
CU,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.027287228125789653,0.1474665224036947,0.1850401547484108,0.378871068595231,0.07202246459980324,0.4952166572875633,1.0755210741530836,7.353312302839116,1.3111767191308243,0.6928233438485805
CU,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.02087266476330507,0.1273908424990836,0.16384745052184752,0.45005000185636257,0.04637854611089806,0.4902880107166778,1.094860023339185,6.160883280757098,1.2310774473482007,0.5839905362776026
CU,40,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.021887410768505644,0.13359584757380763,0.16383301701359781,0.3260468796702881,0.06712964341397497,0.47579083279535184,1.16124107768305,6.3596214511041005,1.2434476546929671,0.6041009463722398
CU,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.02134569639878947,0.13064460595780705,0.16338750645153519,0.4136335211755472,0.051605334930604665,0.4795514511873351,1.1434832073126122,6.3596214511041005,1.2368300558395746,0.5918769716088328
CU,40,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.019490597132146847,0.13512842655808896,0.14423757923184458,0.2883358546203648,0.06759685561065235,0.4792312461252325,1.1394187489205176,6.757097791798107,1.21440770531519,0.6285488958990536
CU,40,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.005718265870585437,0.132629442427401,0.043114603861171434,0.30706095703516223,0.01862257554916246,0.46474358974358976,1.1803698184198381,6.558359621451104,1.0590601002274316,0.6080441640378549
